epoch,reconstruction_loss,reconstruction_mae,discriminator_loss,generator_loss,discriminator_accuracy,learning_rate_embedder,learning_rate_generator,learning_rate_discriminator,patience_counter
1,0.19483452662825584,0.33392779156565666,0.6825438141822815,0.7089968398213387,0.875,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
2,0.1832808367908001,0.3288182131946087,0.6706926077604294,0.7742397040128708,0.90625,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
3,0.16956543363630772,0.3130390793085098,0.6573194116353989,0.7887155190110207,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
4,0.15334537997841835,0.30067723616957664,0.654060959815979,0.8438240215182304,0.90625,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
5,0.14619544334709644,0.29401596635580063,0.6389543414115906,0.9122561290860176,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
6,0.13642609678208828,0.2825317345559597,0.6240954846143723,0.967483639717102,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
7,0.12337877973914146,0.270358894020319,0.5932486653327942,1.044023647904396,0.953125,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
8,0.1181876240298152,0.26431967690587044,0.5701051652431488,1.1923030018806458,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
9,0.11107864044606686,0.2552935089915991,0.5566408038139343,1.254842758178711,0.96875,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
10,0.10317658260464668,0.24496287293732166,0.5360940992832184,1.3069972544908524,0.9375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
11,0.09519172739237547,0.23418919555842876,0.5231283009052277,1.4820806086063385,0.9375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
12,0.08575557917356491,0.22220859862864017,0.43664802610874176,1.594974622130394,1.0,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
13,0.08127906266599894,0.21437674574553967,0.41527271270751953,1.6203910857439041,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
14,0.07575749140232801,0.20536525174975395,0.3460635840892792,1.826617270708084,1.0,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
15,0.06921349000185728,0.19409465789794922,0.38821011036634445,1.8905919194221497,0.921875,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
16,0.0607056119479239,0.18077603727579117,0.38885022699832916,2.3719893395900726,0.984375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
17,0.0563445701263845,0.17176811024546623,0.3965926840901375,2.6449466347694397,0.953125,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
18,0.0532640116289258,0.1654804851859808,0.40404389798641205,3.205268383026123,0.9375,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
19,0.046715373639017344,0.15083281323313713,0.3746274262666702,3.482976973056793,0.96875,0.0010000000474974513,0.0007999999797903001,0.0007999999797903001,0
